,Company,TypeName,Ram,Weight,Price,Touchscreen,Ips,ppi,Cpu brand,HDD,SSD,Gpu brand,os,Inches
480,Dell,Notebook,8,2.16,67239.36,0,1,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows,15.6
481,Dell,Notebook,4,2.18,31254.048,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows,15.6
482,HP,Notebook,4,1.49,38681.28,0,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows,13.3
483,Chuwi,Notebook,4,1.89,13261.392000000002,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows,15.6
484,Lenovo,Notebook,4,2.3,30103.2,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Windows,15.6
485,Lenovo,Notebook,8,1.75,55890.72,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows,14.0
486,Dell,Workstation,16,2.17,124568.64,0,1,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows,15.6
487,Dell,Notebook,16,2.06,101178.72,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows,15.6
488,Lenovo,Ultrabook,16,1.36,95797.44,0,1,176.23257360658386,Intel Core i7,0,512,Intel,Windows,12.5
489,Asus,Ultrabook,16,0.91,103896.0,0,0,176.23257360658386,Intel Core i7,0,512,Intel,Windows,12.5
490,Lenovo,Notebook,8,2.3,53918.82719999999,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows,15.6
491,Toshiba,Ultrabook,32,1.05,149130.72,1,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows,13.3
492,Asus,Gaming,8,1.99,71928.0,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,15.6
493,Acer,Notebook,8,2.2,30849.12,0,0,100.45466986113651,AMD Processor,1000,0,AMD,Windows,15.6
494,Asus,Gaming,24,4.33,67612.31999999999,1,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows,17.3
495,Lenovo,Ultrabook,8,1.3,58554.72,0,1,125.36742798669837,Intel Core i5,0,180,Intel,Windows,12.5
496,Lenovo,Notebook,8,2.17,47893.39199999999,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows,15.6
497,HP,Notebook,8,1.48,93186.72,0,0,157.3505121487356,Intel Core i7,0,1000,Intel,Windows,14.0
498,Lenovo,Notebook,8,1.4,50562.72,0,1,165.6321180513006,Intel Core i3,0,256,Intel,Windows,13.3
499,Lenovo,Notebook,8,2.3,48538.08,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows,15.6
500,Asus,Netbook,4,1.2,18115.2,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows,11.6
501,HP,Notebook,8,1.91,32979.7872,0,0,100.45466986113651,Intel Core i5,0,256,AMD,Windows,15.6
502,Lenovo,2 in 1 Convertible,8,1.4,85194.72,1,1,158.48253022174808,Intel Core i5,0,256,Intel,Windows,13.9
503,Lenovo,Notebook,4,2.1,15930.72,0,0,111.93520355955211,Other Intel Processor,500,0,Intel,Windows,14.0
504,Lenovo,Netbook,4,1.25,14119.2,0,0,135.0942111925629,Other Intel Processor,0,16,Intel,Others/No OS/Linux,11.6
505,Lenovo,Notebook,8,1.44,50562.72,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows,13.3
506,Asus,Notebook,8,2.0,65214.72,0,0,141.21199808219862,Intel Core i7,1000,256,Intel,Windows,15.6
507,Acer,Notebook,4,2.2,32660.64,0,1,141.21199808219862,Intel Core i5,1000,0,Nvidia,Windows,15.6
508,HP,Ultrabook,8,1.34,70489.44,0,1,165.6321180513006,Intel Core i7,0,512,Intel,Windows,13.3
509,Lenovo,Gaming,8,2.4,61218.72,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Others/No OS/Linux,15.6
510,Dell,Ultrabook,8,1.29,47898.72,1,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows,13.3
511,Acer,Notebook,4,2.2,34045.92,0,0,141.21199808219862,Intel Core i7,500,0,Nvidia,Windows,15.6
512,Dell,Notebook,8,2.18,44542.08,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows,15.6
513,Dell,Notebook,16,2.2,64961.10719999999,0,0,141.21199808219862,Intel Core i7,2000,256,AMD,Windows,15.6
514,Xiaomi,Notebook,16,1.95,74589.336,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Others/No OS/Linux,15.6
515,Asus,Netbook,2,1.1,13053.6,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows,11.6
516,HP,Notebook,4,2.04,27783.9216,1,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows,15.6
517,Asus,Gaming,24,2.24,158135.04,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows,15.6
518,HP,Notebook,8,2.04,47365.92,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows,15.6
519,Asus,Gaming,16,3.0,80133.12,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows,17.3
520,Lenovo,Gaming,8,3.2,74538.72,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows,15.6
521,HP,Ultrabook,8,1.32,74538.72,0,1,165.6321180513006,Intel Core i7,0,256,Intel,Windows,13.3
522,Dell,Notebook,8,1.64,68184.0144,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows,14.0
523,HP,Notebook,4,1.63,36709.92,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Windows,15.6
524,Dell,Notebook,8,2.8,47365.92,0,1,127.33567457123111,Intel Core i5,1000,128,AMD,Others/No OS/Linux,17.3
525,Lenovo,Notebook,8,2.02,71395.2,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows,14.0
526,Lenovo,Notebook,4,2.2,42570.72,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows,15.6
527,Lenovo,Notebook,8,2.2,24455.52,0,0,100.45466986113651,Intel Core i3,2000,0,Nvidia,Others/No OS/Linux,15.6
528,Dell,Notebook,4,2.3,31168.8,0,0,141.21199808219862,Intel Core i5,500,0,AMD,Windows,15.6
529,Dell,Notebook,8,1.9,73366.56,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows,15.6
530,Dell,Gaming,16,4.42,160520.3856,0,1,127.33567457123111,Intel Core i7,1000,128,Nvidia,Windows,17.3
531,Toshiba,Notebook,8,2.0,45820.8,0,1,141.21199808219862,Intel Core i5,500,0,Intel,Windows,15.6
532,Asus,Notebook,8,2.0,69210.72,0,1,282.42399616439724,Intel Core i7,1000,256,Nvidia,Windows,15.6
533,Mediacom,Notebook,4,1.2,19660.32,0,1,165.6321180513006,Other Intel Processor,0,32,Intel,Windows,13.3
534,Asus,Gaming,8,2.3,87858.72,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows,15.6
535,Dell,Notebook,8,1.93,72940.31999999999,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows,15.6
536,Dell,Notebook,8,2.2,42486.0048,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows,15.6
537,HP,Notebook,4,1.86,21258.1872,0,0,141.21199808219862,Other Intel Processor,0,256,Intel,Windows,15.6
538,HP,Gaming,12,2.62,95850.72,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia,Windows,17.3
539,Lenovo,Notebook,8,1.87,45767.52,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows,14.0
540,Dell,Ultrabook,8,1.2,74538.72,1,0,276.053530085501,Intel Core i7,0,256,Intel,Windows,13.3
541,Dell,Notebook,4,1.6,39207.1536,0,0,157.3505121487356,Intel Core i3,0,128,Intel,Windows,14.0
542,HP,Ultrabook,8,1.34,61005.6,0,1,276.053530085501,Intel Core i7,0,256,Intel,Windows,13.3
543,Acer,Gaming,8,2.4,42517.44,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux,15.6
544,Asus,Notebook,4,2.0,18594.72,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows,15.6
545,HP,Notebook,4,2.1,37589.04,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows,15.6
546,Lenovo,Notebook,4,1.87,41824.8,0,0,157.3505121487356,Intel Core i5,500,0,Intel,Windows,14.0
547,Lenovo,Notebook,4,2.15,24634.008,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Others/No OS/Linux,15.6
548,HP,Notebook,4,1.86,21152.16,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Windows,15.6
549,Lenovo,Notebook,8,1.99,92121.12,0,1,141.21199808219862,Intel Core i7,0,512,Intel,Windows,15.6
550,Lenovo,Notebook,4,2.2,26586.72,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows,15.6
551,Dell,Notebook,8,1.9,59513.2272,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows,15.6
552,Dell,Gaming,16,4.42,143802.72,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows,17.3
553,HP,Notebook,8,2.65,28992.312,0,0,106.11306214269258,Intel Core i3,1000,0,Intel,Windows,17.3
554,HP,Notebook,8,2.63,68198.4,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia,Windows,17.3
555,Asus,Notebook,4,2.0,11934.72,0,0,100.45466986113651,Other Intel Processor,500,0,Intel,Others/No OS/Linux,15.6
556,Mediacom,Notebook,4,1.35,13586.4,0,1,165.6321180513006,Other Intel Processor,0,0,Intel,Windows,13.3
557,Lenovo,Notebook,6,2.8,50562.72,0,0,106.11306214269258,Intel Core i7,1000,128,Nvidia,Windows,17.3
558,HP,Notebook,6,1.91,30310.992,0,1,141.21199808219862,AMD Processor,0,128,AMD,Windows,15.6
559,Dell,Notebook,4,2.18,32921.712,0,0,100.45466986113651,Intel Core i3,1000,0,AMD,Windows,15.6
560,Acer,2 in 1 Convertible,4,1.25,18594.72,1,1,189.90579052433606,Other Intel Processor,0,0,Intel,Windows,11.6
561,Lenovo,Notebook,4,2.05,33566.4,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows,15.6
562,HP,Ultrabook,16,1.16,104695.2,1,1,276.053530085501,Other Intel Processor,0,512,Intel,Windows,13.3
563,Lenovo,Notebook,8,3.4,159786.72,0,1,127.33567457123111,Intel Core i7,0,256,Nvidia,Windows,17.3
564,Asus,Notebook,8,2.5,44701.92,0,0,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows,15.6
565,Dell,Ultrabook,8,1.21,85194.72,1,1,331.2642361026012,Intel Core i5,0,128,Intel,Windows,13.3
566,Dell,Notebook,4,1.93,51095.52,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Windows,15.6
567,Fujitsu,Notebook,8,2.2,39373.92,0,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows,15.6
568,Lenovo,Notebook,4,2.2,18328.32,0,0,141.21199808219862,Other Intel Processor,500,0,Intel,Windows,15.6
569,Lenovo,Notebook,4,2.02,52747.2,0,0,111.93520355955211,Intel Core i5,500,0,Intel,Windows,14.0
570,HP,Workstation,8,3.14,99153.5472,0,0,106.11306214269258,Intel Core i5,500,0,Nvidia,Windows,17.3
571,HP,Notebook,8,1.94,20725.92,0,0,111.93520355955211,Other Intel Processor,2000,0,Intel,Windows,14.0
572,HP,Notebook,6,1.95,34578.72,0,1,141.21199808219862,AMD Processor,0,256,AMD,Windows,15.6
573,Lenovo,Notebook,8,2.3,44222.4,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows,15.6
574,Lenovo,Notebook,4,2.05,36496.8,0,0,141.21199808219862,Intel Core i5,500,0,Intel,Windows,15.6
575,Mediacom,Notebook,4,1.4,13266.72,0,0,157.3505121487356,Other Intel Processor,0,32,Intel,Windows,14.0
576,Toshiba,Ultrabook,16,1.24,99367.2,1,0,157.3505121487356,Intel Core i7,0,512,Intel,Windows,14.0
577,Lenovo,Gaming,32,4.6,141884.63999999998,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows,17.3
578,MSI,Gaming,16,4.14,145401.12,0,0,127.33567457123111,Intel Core i7,1000,512,Nvidia,Windows,17.3
579,Dell,Notebook,8,2.2,39907.2528,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others/No OS/Linux,15.6
580,Mediacom,Notebook,4,1.45,20725.92,0,1,157.3505121487356,Other Intel Processor,0,32,Intel,Windows,14.0
581,Dell,Notebook,8,1.9,53733.94559999999,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Windows,15.6
582,HP,Notebook,4,1.49,38308.32,0,0,165.6321180513006,Intel Core i3,0,128,Intel,Windows,13.3
583,Dell,Notebook,16,1.93,81912.13919999999,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows,15.6
584,Dell,Netbook,4,1.26,15717.6,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Others/No OS/Linux,11.6
585,MSI,Gaming,16,4.5,125154.72,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia,Windows,17.3
586,HP,Gaming,16,3.78,79813.44,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows,17.3
587,Lenovo,Ultrabook,12,1.4,89137.44,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows,14.0
588,Lenovo,Notebook,12,2.2,32447.52,1,0,100.45466986113651,Intel Core i7,1000,0,Intel,Windows,15.6
589,Asus,Gaming,8,2.73,94305.6,0,1,127.33567457123111,Intel Core i5,1000,128,Nvidia,Windows,17.3
590,Asus,2 in 1 Convertible,8,2.2,39373.92,1,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows,15.6
591,Lenovo,Notebook,12,2.2,50562.72,0,0,141.21199808219862,AMD Processor,0,512,AMD,Windows,15.6
592,Dell,2 in 1 Convertible,4,1.39,32127.84,1,0,135.0942111925629,Other Intel Processor,0,128,Intel,Windows,11.6
593,Samsung,Notebook,16,2.5,90522.72,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,15.6
594,Lenovo,Notebook,4,2.8,28185.12,0,0,127.33567457123111,Intel Core i3,500,0,Intel,Others/No OS/Linux,17.3
595,Lenovo,Notebook,8,2.29,24455.52,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows,15.6
596,Lenovo,2 in 1 Convertible,8,1.37,107892.0,1,1,165.6321180513006,Intel Core i7,0,512,Intel,Windows,13.3
597,Lenovo,Notebook,8,1.7,78534.72,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows,14.0
598,Dell,2 in 1 Convertible,8,1.34,88977.59999999999,1,0,176.23257360658386,Intel Core i5,0,256,Intel,Windows,12.5
599,Dell,Workstation,8,2.06,93932.64,1,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows,15.6
600,HP,Notebook,8,1.84,64948.32,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows,15.6
601,HP,Notebook,4,2.1,35616.6144,0,0,100.45466986113651,Intel Core i3,500,0,Intel,Windows,15.6
602,Acer,Notebook,4,1.6,17529.12,0,0,157.3505121487356,Other Intel Processor,0,0,Intel,Windows,14.0
603,MSI,Gaming,16,4.14,117162.72,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia,Windows,17.3
604,Dell,Notebook,4,2.18,24775.2,0,0,100.45466986113651,Intel Core i3,1000,0,AMD,Others/No OS/Linux,15.6
605,MSI,Gaming,16,1.8,122490.72,0,0,282.42399616439724,Intel Core i7,2000,256,Nvidia,Windows,15.6
606,Toshiba,Notebook,8,2.2,74538.72,0,1,141.21199808219862,Intel Core i7,0,256,Intel,Windows,15.6
607,Lenovo,Notebook,6,2.4,30049.92,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows,15.6
608,Lenovo,2 in 1 Convertible,8,2.0,69210.72,1,1,141.21199808219862,Intel Core i7,0,256,Intel,Windows,15.6
609,Acer,Notebook,4,1.6,18594.72,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows,14.0
610,Lenovo,Notebook,32,2.5,261018.72,0,1,282.42399616439724,Other Intel Processor,0,1000,Nvidia,Windows,15.6
611,Dell,Gaming,16,2.59,46833.6528,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows,15.6
612,Dell,Notebook,4,2.18,23650.992,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others/No OS/Linux,15.6
613,Dell,Notebook,4,2.25,19127.52,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others/No OS/Linux,15.6
614,Dell,Notebook,4,1.93,46300.32,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Others/No OS/Linux,15.6
615,Asus,Gaming,8,3.0,62231.04,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia,Windows,17.3
616,Dell,Notebook,4,2.18,30316.32,0,0,141.21199808219862,Intel Core i5,0,128,AMD,Others/No OS/Linux,15.6
617,HP,Ultrabook,8,1.84,74005.92,0,0,141.21199808219862,Intel Core i7,0,512,Intel,Windows,15.6
618,MSI,Gaming,16,2.94,120831.5808,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows,15.6
619,Acer,2 in 1 Convertible,4,1.25,20193.12,1,1,135.0942111925629,Other Intel Processor,0,0,Intel,Others/No OS/Linux,11.6
620,HP,Notebook,8,2.31,59886.72,0,0,111.93520355955211,Intel Core i5,0,256,Intel,Windows,14.0
621,Lenovo,Notebook,8,1.65,78055.2,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows,14.0
622,Dell,Notebook,4,2.2,41345.28,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,Windows,15.6
623,Fujitsu,Notebook,8,2.2,42570.72,0,0,100.45466986113651,Intel Core i5,0,256,Intel,Windows,15.6
624,HP,Notebook,4,1.88,49656.96,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Windows,15.6
625,Lenovo,Notebook,8,2.2,47898.72,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows,15.6
626,Mediacom,Notebook,2,1.4,12733.92,0,0,157.3505121487356,Other Intel Processor,0,0,Intel,Windows,14.0
627,Lenovo,Notebook,4,2.2,24935.04,0,0,141.21199808219862,Intel Core i5,0,128,Intel,Others/No OS/Linux,15.6
628,Asus,2 in 1 Convertible,6,1.5,34046.4528,1,0,165.6321180513006,Intel Core i5,1000,0,Intel,Windows,13.3
629,Dell,Notebook,8,2.0,96969.6,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows,15.6
630,Asus,Ultrabook,16,1.1,101232.0,0,0,157.3505121487356,Intel Core i7,0,512,Intel,Windows,14.0
631,Dell,Gaming,16,2.62,78801.12,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows,15.6
632,Lenovo,Notebook,4,1.8,44169.12,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows,15.6
633,Lenovo,Notebook,4,2.2,30849.12,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Windows,15.6
634,Asus,Notebook,8,2.0,21258.72,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Windows,15.6
635,Asus,Notebook,8,1.99,48304.7136,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia,Windows,15.6
636,Dell,Ultrabook,8,1.23,99580.32,1,0,276.053530085501,Intel Core i5,0,256,Intel,Windows,13.3
637,Lenovo,Notebook,2,1.42,13266.72,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows,14.0
638,Lenovo,2 in 1 Convertible,8,1.37,93635.3376,1,1,165.6321180513006,Intel Core i7,0,256,Intel,Windows,13.3
639,Dell,Notebook,16,2.06,127818.72,1,0,282.42399616439724,Intel Core i7,0,1000,Nvidia,Windows,15.6
640,Lenovo,Gaming,8,2.5,59087.52,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,15.6
641,HP,Notebook,8,2.6,27753.552,0,0,107.98564559226952,AMD Processor,1000,0,AMD,Windows,17.0
642,Lenovo,Ultrabook,16,1.14,130536.0,0,1,157.3505121487356,Intel Core i7,0,512,Intel,Windows,14.0
643,Asus,Gaming,8,2.5,62284.32,0,1,141.21199808219862,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux,15.6
644,Acer,Notebook,4,2.4,23976.0,0,0,100.45466986113651,Intel Core i3,500,0,Intel,Windows,15.6
645,Lenovo,Notebook,4,1.43,14598.72,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows,14.0
646,Acer,Ultrabook,8,1.8,48964.32,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows,14.0
647,Razer,Gaming,16,1.95,138474.72,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows,14.0
648,Toshiba,Notebook,8,1.2,64628.64,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows,13.3
649,Lenovo,Ultrabook,8,1.36,84395.52,0,1,176.23257360658386,Intel Core i7,0,256,Intel,Windows,12.5
650,Asus,Gaming,32,3.8,149130.72,0,1,127.33567457123111,Intel Core i7,0,512,Nvidia,Windows,17.3
651,Acer,Gaming,8,2.4,37775.52,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux,15.6
652,Dell,Ultrabook,8,1.2,77250.672,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows,13.3
